Year,Player,Pos,Height,WT,Age,Teams,GP,YOS,Pre-Draft Team,Nationality,Draft Year,Draft Pick
2022,Malik Fitts,SF,80,230,24,"BOS, UTH",15,1,Saint Mary's,United States,"2020 NBA Draft, Undrafted",NA
2022,Malachi Flynn,PG,73,176,23,TOR,44,1,San Diego State,United States,2020 ,29
2022,Bryn Forbes,G,74,205,28,"DEN, SAN",75,5,Michigan State,United States,"2016 NBA Draft, Undrafted",NA
2022,Aleem Ford,SF,80,220,24,ORL,5,0,Wisconsin,United StatesPuerto Rico,"2021 NBA Draft, Undrafted",NA
2022,Trent Forrest,SG,76,210,23,UTA,60,1,Florida State,United States,"2020 NBA Draft, Undrafted",NA
2022,Evan Fournier,SG,79,205,29,NYK,80,9,Poitiers Basket 86 (France),France,2012 ,20
2022,De'Aaron Fox,PG,75,185,24,SAC,59,4,Kentucky,United States,2017 ,5
2022,"Melvin Frazier, Jr.",SF,77,215,25,OKC,3,2,Tulane,United States,2018 ,10
2022,Tim Frazier,G,72,172,31,"CLE, ORL",12,7,Penn State,United States,"2014 NBA Draft, Undrafted",NA
2022,Enes Freedom,F,82,250,29,BOS,35,10,Kentucky,SwitzerlandTurkey,2011 ,3
2022,Markelle Fultz,PG,76,210,23,ORL,18,4,Washington,United States,2017 ,1
2022,Wenyen Gabriel,PF,81,205,24,"BRK, LAC, LAL",26,3,Kentucky,South Sudan,"2018 NBA Draft, Undrafted",NA
2022,Daniel Gafford,C,82,234,23,WAS,72,2,Arkansas,United States,2019 ,16
2022,Danilo Gallinari,SF,82,233,33,ATL,66,13,AX Armani Exchange Milan (Italy),Italy,2008 ,6
2022,Langston Galloway,G,73,200,30,"BRK, MIL",7,7,Saint Joseph's,United States,"2014 NBA Draft, Undrafted",NA
2022,Darius Garland,G,73,186,22,CLE,68,2,Vanderbilt,United States,2019 ,5
2022,Marcus Garrett,PG,77,205,23,MIA,12,0,Kansas,United States,"2021 NBA Draft, Undrafted",NA
2022,Usman Garuba,C,80,220,19,HOU,24,0,Real Madrid (Spain),Spain,2021 ,23
2022,Luka Garza,C,82,243,23,DET,32,0,Iowa,United States,2021 ,44
2022,Rudy Gay,SF,80,240,35,UTA,55,15,Connecticut,United States,2006 ,8
2022,Paul George,GF,80,220,31,LAC,31,11,Fresno State,United States,2010 ,10
2022,Taj Gibson,F,81,232,36,NYK,52,12,USC,United States,2009 ,26
2022,Josh Giddey,G,80,216,19,OKC,54,0,Adelaide (Australia),Australia,2021 ,6
2022,Shai Gilgeous-Alexander,PG,78,195,23,OKC,56,3,Kentucky,Canada,2018 ,11
2022,Anthony Gill,PF,80,230,29,WAS,44,1,Virginia,United States,"2016 NBA Draft, Undrafted",NA
2022,Freddie Gillespie,F,81,245,24,ORL,9,1,Baylor,United States,"2020 NBA Draft, Undrafted",NA
2022,Rudy Gobert,C,85,256,29,UTA,66,8,Cholet Basket (France),France,2013 ,27
2022,Brandon Goodwin,PG,72,180,26,CLE,36,3,Florida Gulf Coast,United States,"2018 NBA Draft, Undrafted",NA
2022,Jordan Goodwin,SG,75,200,23,WAS,2,0,Saint Louis,United States,"2021 NBA Draft, Undrafted",NA
2022,Aaron Gordon,F,80,235,26,DEN,75,7,Arizona,United States,2014 ,4
2022,Eric Gordon,G,75,215,33,HOU,57,13,Indiana,United States,2008 ,7
2022,Devonte' Graham,PG,73,195,27,NOP,76,3,Kansas,United States,2018 ,8
2022,Jerami Grant,F,80,210,27,DET,47,7,Syracuse,United States,2014 ,18
2022,Hassani Gravett,SG,74,188,25,ORL,8,0,South Carolina,United States,"2019 NBA Draft, Undrafted",NA
2022,Danny Green,SF,78,220,34,PHI,62,12,North Carolina,United States,2009 ,32
2022,Draymond Green,F,78,234,31,GSW,46,9,Michigan State,United States,2012 ,10
2022,JaMychal Green,PF,80,227,31,DEN,67,7,Alabama,United States,"2012 NBA Draft, Undrafted",NA
2022,Jalen Green,SG,78,178,20,HOU,67,0,NBA G League Ignite,United States,2021 ,2
2022,Javonte Green,G,77,205,28,CHI,65,2,Radford,United StatesMontenegro,"2015 NBA Draft, Undrafted",NA
2022,Jeff Green,F,80,235,35,DEN,75,13,Georgetown,United States,2007 ,5
2022,Josh Green,SG,78,210,21,DAL,67,1,Arizona,United StatesAustralia,2020 ,18
2022,Blake Griffin,PF,81,246,32,BRK,56,12,Oklahoma,United States,2009 ,1
2022,Quentin Grimes,SG,77,205,21,NYK,46,0,Houston,United States,2021 ,25
2022,Kyle Guy,SG,73,167,24,MIA,19,2,Virginia,United States,2019 ,50
2022,Rui Hachimura,F,80,230,24,WAS,42,2,Gonzaga,Japan,2019 ,9
2022,Tyrese Haliburton,PG,77,185,22,"IND, SAC",77,1,Iowa State,United States,2020 ,12
2022,Tyler Hall,SG,77,210,24,NYK,1,0,Montana State,United States,"2019 NBA Draft, Undrafted",NA
2022,R.J. Hampton,G,78,190,21,ORL,64,1,New Zealand (New Zealand),United States,2020 ,24
2022,Tim Hardaway Jr.,SG,77,205,29,DAL,42,8,Michigan,United States,2013 ,24
2022,James Harden,SG,77,220,32,"BRK, PHL",65,12,Arizona State,United States,2009 ,3
2022,Maurice Harkless,F,81,220,28,SAC,47,9,St. John's,United StatesPuerto Rico,2012 ,15
2022,Jared Harper,PG,72,175,24,NOP,5,2,Auburn,United States,"2019 NBA Draft, Undrafted",NA
2022,Montrezl Harrell,F,79,240,28,"CHA, WAS",71,6,Louisville,United States,2015 ,4
2022,Gary Harris,SG,76,210,27,ORL,61,7,Michigan State,United States,2014 ,19
2022,Joe Harris,SG,78,215,30,BRK,14,7,Virginia,United States,2014 ,6
2022,Tobias Harris,F,79,230,29,PHI,73,10,Tennessee,United States,2011 ,19
2022,Shaquille Harrison,G,75,195,28,BRK,2,4,Tulsa,United States,"2016 NBA Draft, Undrafted",NA
2022,Josh Hart,SG,77,215,26,"NOP, POR",54,4,Villanova,United States,2017 ,30
2022,Isaiah Hartenstein,PF,84,250,23,LAC,68,3,Zalgiris (Lithuania),United StatesGermany,2017 ,26
2022,Udonis Haslem,FC,80,235,41,MIA,13,18,Florida,United States,"2002 NBA Draft, Undrafted",NA
2022,Sam Hauser,SF,80,215,24,BOS,26,0,Virginia,United States,"2021 NBA Draft, Undrafted",NA
2022,Jaxson Hayes,PF,83,220,21,NOP,70,2,Texas,United States,2019 ,8
2022,Killian Hayes,G,77,216,20,DET,66,1,Ratiopharm Ulm (Germany),FranceUnited States,2020 ,7
2022,Gordon Hayward,GF,79,225,31,CHA,49,11,Butler,United States,2010 ,9
2022,Aaron Henry,F,77,210,22,PHI,6,0,Michigan State,United States,"2021 NBA Draft, Undrafted",NA
2022,Juancho Hernangomez,F,81,215,26,"BOS, SAN, UTH",40,5,Movistar Estudiantes (Spain),Spain,2016 ,15
2022,Willy Hernangomez,C,83,250,27,NOP,50,5,Cajasol Seville U18 (Spain),Spain,2015 ,10
2022,Tyler Herro,SG,78,195,22,MIA,66,2,Kentucky,United States,2019 ,13
2022,Buddy Hield,G,76,220,29,"IND, SAC",81,5,Oklahoma,Bahamas,2016 ,6
2022,Haywood Highsmith,F,79,220,25,MIA,19,1,Wheeling Jesuit,United States,"2018 NBA Draft, Undrafted",NA
2022,George Hill,G,75,188,35,MIL,54,13,IUPUI,United States,2008 ,26
2022,Malcolm Hill,G,78,220,26,"ATL, CHI",19,0,Illinois,United States,"2017 NBA Draft, Undrafted",NA
2022,Solomon Hill,SF,78,226,30,ATL,13,8,Arizona,United States,2013 ,23
